Parameter, Format, Description
.. _EDistribexPriceQuery: , Object **EDistribexPriceQuery**,
producerName,String,name of the Seller (Manufacturer) company
**producerIDs**,List<Long>,array; identifier of the Seller (Manufacturer) company
categoryName,String,product category
**categoryIDs**,List<Long>,array; identifier of the product category
**regions**,List<String>,array; region or country of availability of the goods
regionsList,List<EDistribexRegion_>,array of objects; data of countries / regions of Ukraine
isPickup,boolean,presence of a "In-pickup!" mark
**limit**,Limitation_,object; selection filter (data output settings)
